=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.05.23 21:19:08 =~=~=~=~=~=~=~=~=~=~=~=
BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1948600 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1948700 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1948800 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1948900 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1949000 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1949100 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1949200 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1949300 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1949400 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1949500 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1949600 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1949700 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1949800 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1949900 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1950000 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1950100 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1950200 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1950300 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1950400 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1950500 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1950600 | BTNL: 0 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1950700 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1950800 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1950900 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1951000 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1951100 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1951200 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1951300 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1951400 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1951500 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1951600 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1951700 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1951800 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1951900 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1952000 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1952100 | BTNL: 1 | BTNR: 0      | LEDL: 0 | LEDR: 0
Time: 1952200 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1952300 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1952400 | BTNL: 0 | BTNR: 0      | LEDL: 1 | LEDR: 0
Time: 1952500 | BTNL: 0 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1952600 | BTNL: 0 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1952700 | BTNL: 0 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1952800 | BTNL: 0 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1952900 | BTNL: 0 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1953000 | BTNL: 0 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1953100 | BTNL: 0 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1953200 | BTNL: 0 | BTNR: 1      | LEDL: 1 | LEDR: 0
Time: 1953300 | BTNL: 0 | BTNR: 1      | LEDL: 1 | LEDR: 0
